Data,Sentiment
ভালোই কিনতু বইটা,1
পড়লাম বইটা মাঝখানে কিছুটা বোরিং মনে হয়েছে অনুবাদকের ভালো অনুবাদের চেষটা চোখে পড়ার মত কিনতু কিছু জায়গায় কিছু ভুল দৃষটিকটু,0
বোরিং বোরিং বোরং ছোট গলপটির বইটি নেওয়া উচিত ছিল হতাশ বিগ টাইম শুভেচছা বিনের,0
বইটি চমৎকার লেগেছে,1
অসাধারণ বই লজিকাল সকিল ডেভেলপমেনট জনযে অতুলনীয়,1
দুঃখিত ভাবেন করনবল ডায়লগ কলানত পুরাতন এসএফ উপাদান পুলিশ টিভি তৈরির শেষ অবিশবাসয,0
মজার বই,1
পারফেকট মানের অনুবাদ,1
মোটিভেশনাল বই হিসেবে কাছে বইটি অনেক ভালো লেগেছে,1
বাংলা সাহিতযকে শেষ করার এইটাই যথেষট,0
বিশেষ কিছু বলতে চাচছি না এক কথায় অসাধারণ বাকিটুকু পাঠকেরা নিজে পড়ে বুঝে নিন,1
সতরকতার শবদ বইটি পুরোপুরি কথাসাহিতযের কাজ সতয হিসাবে উপসথাপিত কিনডা বাইবেলের কথা মনে করিয়ে দেয়,0
বাংলা বানানের উপর দেখা দুই ভাল বইয়ের মধযে অনযতম বইয়ের শেষে সুকষ ইনডেকসও আছে সাধারণত বাংলাদেশি কলকাতার বইয়ে এটা থাকে না,1
দারুন কাহিনী পরতি পৃষঠাতেই উততেজনা,1
বইটা এক কথায় অসথির,1
একজন মানুষ গুড়ে দাঁড়াতে পারবে বই টি পরে মোটিভেশনাল বই অনেক ভালো লাগছে পড়ে তবে সব বয়সের মানুষ বই টি পড়া দরকার বিশেষ ছাতর দের পড়াটা জরুরি,1
যদি এটি না কিনে থাকি গলপটি দেখানো হয়নি বলে জানা গেছে অকষরগুলি একই বলে মনে হচছে না লেখা জোর গলপগুলি পরবাহিত হয় না,0
বইটি খাঁটি আবরজনা আপনার অরথ নষট করবেন না এটি কীভাবে কিছু পরযালোচনা পেয়েছে তা বোঝার বাইরে,0
এটি ভয়াবহ বই ছিল খুবই বিরকতিকর তবে কীভাবে এনচিলাদাসকে অরথ বযয় করতে দবিধা বোধ করবেন সে সমপরকে আপনার যদি রেসিপিগুলির পরয়োজন হয় এক রহসয যতদূর যায়,0
মূল চরিতরটি গরহণ করা খুব মিষটি সে সব কিছুতেই লোকের কাছে পিছনে থাকে বইটি দশকে ফাদার নো বেসটের সাথে সমপরকিত,0
ওয়াও এইটা বই মানে যা মনে হলো তা পাবলিশড দিলো ওয়াসটেজ অফ বুকস,0
বইটি বাকযে সংকষেপে বলতে পারি খুব ধীর খুব নিসতেজ এটি শেষ করতে পারেনি,0
মনে আছে বইটা শেষ মনে হয়েছিল লেখক মোটেও উপনযাসের পরিণতি সমপরকে ছক না করেই এটা লিখেছেন পরচনড হতাশ হয়েছি,0
নতুন বোতলে পুরনো মদ,0
বনধু রাশেদ পড়ে মুকতিযুদধের সাথে শারীরিক সমপরক না থাকলে মানসিক সমপরক গড়ে উঠল রাশেদ নামে ছেলেটির চরিতর মনে দাগ কাটল লেখক এত সুনদর শিশু কিশোরদের দেশপরেম ফুটিয়ে তুললেন যা আমাকে অভিভুত,1
অসাধারন,1
কিছু চরিতর আকরষণীয় ছিল যদিও ধরণের সুসপষট তৈরির গলপগুলি সতযই পছনদ করি না সতযিই টরযাভেল সটোরি হিসাবে এটি আসার সাথে সাথে পড়লাম,0
আলহামদুলিললাহ ভাল বই,1
বইটির সতযই উচচ পরতযাশা ছিল তবে এটি সতযিই কোনও দুঃসাহসিক কাজ নয় এটি মোটেও আকরষণীয় নয় খুব বিরকতিকর এটি কেনার দুঃখিত,0
